ReviewComment,UserRating,ReviewDate,Status,UserId,IsSpoiler,LikeCount,MovieId,SentimentScore
Finali etkileyiciydi.,1,2025-02-01,1,3edb6aa3-5c30-4473-b862-b341265392ef,0,0,66,
Bazı sahneler gereksiz uzatılmıştı.,3,2024-01-06,1,209635a5-98ef-45de-becf-d898db9fe4f8,0,0,37,
Beklentimin biraz altında kaldı.,3,2025-08-04,1,7031a57f-88b0-4c75-a76b-bf7b9ff262f7,0,0,95,
Oyunculuklar ve atmosfer çok iyiydi.,2,2022-09-29,1,a216791d-4c7a-4162-bbc2-d9e40d353439,0,0,9,
Görsel olarak çok başarılıydı.,4,2022-08-22,1,e8c7e432-04d5-48c9-bf1c-5a2c5c7a9656,1,0,92,
Film genel olarak başarılıydı.,2,2025-06-21,1,cd53977d-e714-4f24-bf72-c010a6574641,0,0,96,
Finali etkileyiciydi.,1,2022-01-01,1,d99b45e0-52b4-4684-9d0f-a0ec863756b6,0,0,95,
Finali etkileyiciydi.,2,2022-03-26,1,53c154e6-cd94-4582-b133-11b82e45af18,1,0,31,
Finali etkileyiciydi.,5,2022-03-31,1,29ef5462-52ed-45ad-af48-9292b19a1adc,0,0,49,
Tekrar izlenebilecek bir yapım.,2,2024-03-20,1,e773f0d7-8993-4d86-8ea7-bebae41fb02a,0,0,80,
Finali etkileyiciydi.,4,2022-02-23,1,5b38298f-6a39-4326-8464-1f855d70d6f7,1,0,23,
Tekrar izlenebilecek bir yapım.,5,2025-03-04,1,8cff07f3-b6ce-4c0d-8c9d-c33faa35f0f7,0,0,97,
Tekrar izlenebilecek bir yapım.,5,2024-03-25,1,e773f0d7-8993-4d86-8ea7-bebae41fb02a,0,0,6,
Müzikleri filme ayrı bir hava katmış.,1,2025-03-15,1,25a7ad3e-118c-4fc4-91a1-1d8505ae8010,0,0,37,
Beklentimin biraz altında kaldı.,3,2025-05-17,1,5b38298f-6a39-4326-8464-1f855d70d6f7,1,0,85,
Film genel olarak başarılıydı.,4,2023-01-12,1,9fe4fe14-b6c5-46ef-8c6d-0c068d6c8468,0,0,61,
Hikâye güçlü ama tempo sorunluydu.,3,2024-01-28,1,551afc42-02ff-4e48-b76f-468c3da232b4,0,0,89,
Beklentimin biraz altında kaldı.,4,2025-04-05,1,6304650a-859b-4bd5-98bb-85af18662493,1,0,89,
Tekrar izlenebilecek bir yapım.,3,2023-06-13,1,0ec15511-aaba-45e4-a5bf-a2b5107ed792,0,0,20,
Tekrar izlenebilecek bir yapım.,1,2023-05-20,1,45af54d1-4563-47c6-a13b-9e0d5c9b0bcf,0,0,88,
Beklentimin biraz altında kaldı.,1,2023-03-04,1,cd53977d-e714-4f24-bf72-c010a6574641,1,0,5,
Tekrar izlenebilecek bir yapım.,2,2022-05-16,1,29ef5462-52ed-45ad-af48-9292b19a1adc,0,0,50,
Senaryo daha iyi olabilirdi.,5,2023-03-18,1,aa25819e-4451-4e02-8a60-7acf267c7522,0,0,61,
Finali etkileyiciydi.,3,2024-06-05,1,11c9aa42-b714-4387-9450-8d08a2317abd,1,0,94,
Görsel olarak çok başarılıydı.,2,2024-11-13,1,6304650a-859b-4bd5-98bb-85af18662493,0,0,94,
Beklentimin biraz altında kaldı.,3,2022-07-08,1,5231e3af-b058-4762-a50c-49ae4a9d746a,0,0,23,
Oyunculuklar ve atmosfer çok iyiydi.,4,2022-02-27,1,2d70339b-cbc3-4a8e-9f23-75e76e19dea3,0,0,78,
Film genel olarak başarılıydı.,2,2023-03-12,1,b0527843-1fcf-44e8-821b-db95484e60dc,1,0,49,
Beklentimin biraz altında kaldı.,2,2023-10-27,1,3658872f-343a-425d-a7f3-2fb3f6a206a5,0,0,90,
Beklentimin biraz altında kaldı.,1,2024-06-20,1,4ff3fd2e-14f6-407b-95a0-426731fed076,0,0,11,
Beklentimin biraz altında kaldı.,2,2022-04-13,1,c776bb05-f634-4f37-8eef-b5fa56e875db,0,0,50,
Görsel olarak çok başarılıydı.,4,2023-10-02,1,3cbd50b8-c4a3-4a78-a8b0-185b20e5c1db,0,0,83,
Senaryo daha iyi olabilirdi.,4,2025-12-23,1,9126fda7-5958-4835-abf9-0054ca0074a6,0,0,90,
Bazı sahneler gereksiz uzatılmıştı.,1,2023-11-19,1,8818ee82-8a70-48e1-9802-79330044cd03,1,0,62,
Beklentimin biraz altında kaldı.,5,2025-05-12,1,6103c325-17e3-4ae5-b7c8-852e29831f66,0,0,2,
Film genel olarak başarılıydı.,2,2025-11-04,1,a216791d-4c7a-4162-bbc2-d9e40d353439,0,0,38,
Tekrar izlenebilecek bir yapım.,2,2025-05-31,1,808024ce-68dd-4b74-a050-db6e0165b86c,1,0,61,
Görsel olarak çok başarılıydı.,2,2024-11-05,1,0ec15511-aaba-45e4-a5bf-a2b5107ed792,0,0,7,
Bazı sahneler gereksiz uzatılmıştı.,2,2023-02-17,1,8cff07f3-b6ce-4c0d-8c9d-c33faa35f0f7,0,0,90,
Tekrar izlenebilecek bir yapım.,2,2025-01-23,1,ede397c1-f2c3-4b47-ba3e-04980ed5662d,1,0,55,
Beklentimin biraz altında kaldı.,4,2025-02-01,1,e1160d85-4f35-4d49-8404-5ced12eaa580,0,0,91,
Hikâye güçlü ama tempo sorunluydu.,2,2023-08-12,1,113f100c-7966-4457-8d9a-75fc4ba9d52d,0,0,97,
Beklentimin biraz altında kaldı.,4,2025-10-08,1,d8b25938-ad5a-4adb-8047-4a988acac97e,0,0,84,
Tekrar izlenebilecek bir yapım.,4,2025-12-22,1,e773f0d7-8993-4d86-8ea7-bebae41fb02a,0,0,16,
Senaryo daha iyi olabilirdi.,3,2023-12-05,1,deede98b-aad8-4fb2-8f54-6c1bca24f082,0,0,46,
Görsel olarak çok başarılıydı.,4,2023-08-06,1,9126fda7-5958-4835-abf9-0054ca0074a6,0,0,36,
Müzikleri filme ayrı bir hava katmış.,4,2023-10-19,1,66e3688d-0f76-48e8-9388-9bb239237bb9,0,0,37,
Görsel olarak çok başarılıydı.,4,2025-04-16,1,4ff3fd2e-14f6-407b-95a0-426731fed076,0,0,46,
Oyunculuklar ve atmosfer çok iyiydi.,2,2023-06-11,1,c776bb05-f634-4f37-8eef-b5fa56e875db,1,0,72,
Tekrar izlenebilecek bir yapım.,3,2023-05-08,1,94b4eae5-1c9c-40af-9838-af795ab50c8a,0,0,78,
Görsel olarak çok başarılıydı.,4,2022-03-07,1,9e0faad5-9e09-4bb4-a9a6-3964b85d8f19,0,0,39,
Oyunculuklar ve atmosfer çok iyiydi.,4,2022-08-25,1,963df7ea-1f4b-4aeb-8596-b4ad5c3f52f9,0,0,28,
Oyunculuklar ve atmosfer çok iyiydi.,1,2024-05-06,1,53c154e6-cd94-4582-b133-11b82e45af18,0,0,72,
Müzikleri filme ayrı bir hava katmış.,2,2025-08-27,1,53c154e6-cd94-4582-b133-11b82e45af18,0,0,11,
Film genel olarak başarılıydı.,2,2024-03-21,1,6103c325-17e3-4ae5-b7c8-852e29831f66,1,0,19,
Beklentimin biraz altında kaldı.,3,2024-01-03,1,6103c325-17e3-4ae5-b7c8-852e29831f66,0,0,25,
Bazı sahneler gereksiz uzatılmıştı.,3,2024-10-15,1,2d70339b-cbc3-4a8e-9f23-75e76e19dea3,0,0,50,
Oyunculuklar ve atmosfer çok iyiydi.,1,2025-03-13,1,64fd714b-58e2-4182-8a90-389b489bff33,0,0,51,
Hikâye güçlü ama tempo sorunluydu.,1,2024-01-26,1,e3062dde-337e-4594-806a-887166545641,0,0,73,
Görsel olarak çok başarılıydı.,1,2025-10-17,1,b0527843-1fcf-44e8-821b-db95484e60dc,0,0,97,
Müzikleri filme ayrı bir hava katmış.,1,2025-12-05,1,d99b45e0-52b4-4684-9d0f-a0ec863756b6,1,0,21,
Bazı sahneler gereksiz uzatılmıştı.,5,2023-11-19,1,25a7ad3e-118c-4fc4-91a1-1d8505ae8010,0,0,45,
Hikâye güçlü ama tempo sorunluydu.,5,2023-12-06,1,d8b25938-ad5a-4adb-8047-4a988acac97e,0,0,24,
Finali etkileyiciydi.,4,2024-07-01,1,66e3688d-0f76-48e8-9388-9bb239237bb9,0,0,99,
Beklentimin biraz altında kaldı.,4,2022-02-11,1,8818ee82-8a70-48e1-9802-79330044cd03,0,0,18,
Beklentimin biraz altında kaldı.,2,2022-08-09,1,cbeca4ca-d496-41f3-9c25-17d882fa0952,1,0,55,
Oyunculuklar ve atmosfer çok iyiydi.,1,2025-07-11,1,4904099d-15f4-45ab-a94b-7ddaac3d0ba6,0,0,12,
Bazı sahneler gereksiz uzatılmıştı.,1,2025-11-08,1,cd53977d-e714-4f24-bf72-c010a6574641,0,0,19,
Görsel olarak çok başarılıydı.,1,2022-08-28,1,113f100c-7966-4457-8d9a-75fc4ba9d52d,1,0,13,
Senaryo daha iyi olabilirdi.,3,2025-05-26,1,8cff07f3-b6ce-4c0d-8c9d-c33faa35f0f7,0,0,44,
Senaryo daha iyi olabilirdi.,2,2022-01-24,1,551afc42-02ff-4e48-b76f-468c3da232b4,0,0,5,
Görsel olarak çok başarılıydı.,5,2025-12-24,1,113f100c-7966-4457-8d9a-75fc4ba9d52d,0,0,76,
Görsel olarak çok başarılıydı.,1,2022-12-05,1,963df7ea-1f4b-4aeb-8596-b4ad5c3f52f9,1,0,66,
Film genel olarak başarılıydı.,2,2023-05-31,1,609ec58e-f1bb-42f8-b2e8-1f25d14d5466,0,0,63,
Oyunculuklar ve atmosfer çok iyiydi.,4,2024-10-28,1,7031a57f-88b0-4c75-a76b-bf7b9ff262f7,1,0,90,
Film genel olarak başarılıydı.,1,2025-07-07,1,53c154e6-cd94-4582-b133-11b82e45af18,0,0,56,
Bazı sahneler gereksiz uzatılmıştı.,5,2022-12-23,1,d4b6df43-6e05-42e6-95d7-afea495d110b,0,0,97,
Müzikleri filme ayrı bir hava katmış.,2,2023-11-25,1,6c2cc627-f718-4549-8667-295bf667bf1f,0,0,23,
Görsel olarak çok başarılıydı.,5,2022-07-20,1,d2244dd0-a9f9-400f-8f32-0a6572c01fa3,0,0,59,
Müzikleri filme ayrı bir hava katmış.,4,2024-02-12,1,deede98b-aad8-4fb2-8f54-6c1bca24f082,1,0,73,
Müzikleri filme ayrı bir hava katmış.,3,2022-02-01,1,94b4eae5-1c9c-40af-9838-af795ab50c8a,0,0,45,
Film genel olarak başarılıydı.,5,2023-03-21,1,3658872f-343a-425d-a7f3-2fb3f6a206a5,0,0,76,
Senaryo daha iyi olabilirdi.,5,2024-05-28,1,8cff07f3-b6ce-4c0d-8c9d-c33faa35f0f7,1,0,37,
Film genel olarak başarılıydı.,2,2023-08-12,1,9c564df6-1ac5-4d11-bf20-2ecdbc4a7550,0,0,50,
Bazı sahneler gereksiz uzatılmıştı.,1,2024-06-13,1,d99b45e0-52b4-4684-9d0f-a0ec863756b6,0,0,4,
Senaryo daha iyi olabilirdi.,4,2023-05-30,1,e773f0d7-8993-4d86-8ea7-bebae41fb02a,0,0,59,
Görsel olarak çok başarılıydı.,4,2025-09-27,1,deede98b-aad8-4fb2-8f54-6c1bca24f082,0,0,20,
Tekrar izlenebilecek bir yapım.,1,2024-01-03,1,cd53977d-e714-4f24-bf72-c010a6574641,0,0,37,
Finali etkileyiciydi.,1,2023-04-11,1,d8b25938-ad5a-4adb-8047-4a988acac97e,0,0,33,
Oyunculuklar ve atmosfer çok iyiydi.,2,2023-07-20,1,3edb6aa3-5c30-4473-b862-b341265392ef,0,0,92,
Oyunculuklar ve atmosfer çok iyiydi.,1,2023-09-29,1,cd53977d-e714-4f24-bf72-c010a6574641,0,0,93,
Müzikleri filme ayrı bir hava katmış.,2,2023-09-14,1,deede98b-aad8-4fb2-8f54-6c1bca24f082,1,0,42,
Film genel olarak başarılıydı.,5,2025-10-17,1,9fe4fe14-b6c5-46ef-8c6d-0c068d6c8468,1,0,56,
Tekrar izlenebilecek bir yapım.,2,2022-02-06,1,3edb6aa3-5c30-4473-b862-b341265392ef,0,0,43,
Beklentimin biraz altında kaldı.,4,2022-08-31,1,cd53977d-e714-4f24-bf72-c010a6574641,0,0,94,
Beklentimin biraz altında kaldı.,4,2023-12-17,1,7e17a979-6c8e-4f65-90af-0d9f3cbe9b12,0,0,56,
Tekrar izlenebilecek bir yapım.,3,2024-03-06,1,03ccae2f-cf44-4450-86c0-476c41a7787a,0,0,40,
Beklentimin biraz altında kaldı.,3,2025-08-04,1,551afc42-02ff-4e48-b76f-468c3da232b4,1,0,1,
Finali etkileyiciydi.,2,2022-12-31,1,7e17a979-6c8e-4f65-90af-0d9f3cbe9b12,0,0,81,
Hikâye güçlü ama tempo sorunluydu.,2,2023-08-31,1,4904099d-15f4-45ab-a94b-7ddaac3d0ba6,0,0,25,
Müzikleri filme ayrı bir hava katmış.,5,2023-07-02,1,4ff3fd2e-14f6-407b-95a0-426731fed076,1,0,4,
Oyunculuklar ve atmosfer çok iyiydi.,1,2024-04-28,1,609ec58e-f1bb-42f8-b2e8-1f25d14d5466,0,0,60,
Bazı sahneler gereksiz uzatılmıştı.,3,2024-04-13,1,11c9aa42-b714-4387-9450-8d08a2317abd,0,0,14,
Tekrar izlenebilecek bir yapım.,5,2024-08-23,1,808024ce-68dd-4b74-a050-db6e0165b86c,0,0,97,
Oyunculuklar ve atmosfer çok iyiydi.,3,2023-06-23,1,e3062dde-337e-4594-806a-887166545641,0,0,41,
Beklentimin biraz altında kaldı.,3,2022-11-19,1,57edbe17-0129-436c-9f07-ffc4ffb14f49,0,0,99,
Finali etkileyiciydi.,3,2025-10-25,1,8cff07f3-b6ce-4c0d-8c9d-c33faa35f0f7,1,0,88,
Müzikleri filme ayrı bir hava katmış.,5,2024-01-13,1,ede397c1-f2c3-4b47-ba3e-04980ed5662d,0,0,49,
Görsel olarak çok başarılıydı.,2,2024-01-16,1,99ac3066-6d2a-448f-bba2-d6e1a30f1e64,0,0,73,
Film genel olarak başarılıydı.,2,2025-02-20,1,deede98b-aad8-4fb2-8f54-6c1bca24f082,1,0,71,
Tekrar izlenebilecek bir yapım.,2,2022-04-19,1,c13579dc-1718-4f0b-82f8-761172644bdf,0,0,40,
Tekrar izlenebilecek bir yapım.,4,2025-12-30,1,45af54d1-4563-47c6-a13b-9e0d5c9b0bcf,0,0,89,
Film genel olarak başarılıydı.,4,2022-11-03,1,cbeca4ca-d496-41f3-9c25-17d882fa0952,0,0,95,
Görsel olarak çok başarılıydı.,2,2023-04-24,1,2907842f-fe98-490b-a795-b79b3389f4a8,0,0,64,
Finali etkileyiciydi.,3,2025-12-29,1,53c154e6-cd94-4582-b133-11b82e45af18,0,0,54,
Hikâye güçlü ama tempo sorunluydu.,4,2024-05-26,1,9e0faad5-9e09-4bb4-a9a6-3964b85d8f19,0,0,21,
Oyunculuklar ve atmosfer çok iyiydi.,3,2024-01-02,1,209635a5-98ef-45de-becf-d898db9fe4f8,0,0,16,
Beklentimin biraz altında kaldı.,4,2022-11-10,1,a52c0db8-7836-4b1f-a550-d32432150c94,0,0,87,
Film genel olarak başarılıydı.,3,2024-08-14,1,b0527843-1fcf-44e8-821b-db95484e60dc,1,0,54,
Oyunculuklar ve atmosfer çok iyiydi.,2,2022-11-11,1,2d70339b-cbc3-4a8e-9f23-75e76e19dea3,0,0,17,
Görsel olarak çok başarılıydı.,5,2023-04-05,1,9c564df6-1ac5-4d11-bf20-2ecdbc4a7550,0,0,93,
Senaryo daha iyi olabilirdi.,2,2022-02-26,1,64fd714b-58e2-4182-8a90-389b489bff33,0,0,46,
Oyunculuklar ve atmosfer çok iyiydi.,3,2024-04-26,1,ed67bb21-2df5-4360-8399-28e257eae664,0,0,85,
Tekrar izlenebilecek bir yapım.,3,2023-06-12,1,11c9aa42-b714-4387-9450-8d08a2317abd,0,0,90,
Beklentimin biraz altında kaldı.,1,2025-10-28,1,a52c0db8-7836-4b1f-a550-d32432150c94,0,0,72,
Bazı sahneler gereksiz uzatılmıştı.,1,2023-02-13,1,2d70339b-cbc3-4a8e-9f23-75e76e19dea3,0,0,30,
Müzikleri filme ayrı bir hava katmış.,3,2022-04-22,1,4904099d-15f4-45ab-a94b-7ddaac3d0ba6,0,0,65,
Senaryo daha iyi olabilirdi.,4,2023-02-04,1,ead240b3-a10f-4dcf-84ab-931ca8a2a8bb,0,0,71,
Film genel olarak başarılıydı.,1,2022-11-09,1,11c9aa42-b714-4387-9450-8d08a2317abd,1,0,90,
Tekrar izlenebilecek bir yapım.,2,2022-06-12,1,3edb6aa3-5c30-4473-b862-b341265392ef,0,0,40,
Bazı sahneler gereksiz uzatılmıştı.,3,2024-10-11,1,ead240b3-a10f-4dcf-84ab-931ca8a2a8bb,0,0,80,
Senaryo daha iyi olabilirdi.,2,2023-05-23,1,9e0faad5-9e09-4bb4-a9a6-3964b85d8f19,0,0,71,
Oyunculuklar ve atmosfer çok iyiydi.,1,2022-05-17,1,4ff3fd2e-14f6-407b-95a0-426731fed076,0,0,34,
Müzikleri filme ayrı bir hava katmış.,3,2022-06-06,1,209635a5-98ef-45de-becf-d898db9fe4f8,0,0,62,
Müzikleri filme ayrı bir hava katmış.,4,2023-11-26,1,6103c325-17e3-4ae5-b7c8-852e29831f66,0,0,59,
Beklentimin biraz altında kaldı.,3,2023-12-06,1,6c2cc627-f718-4549-8667-295bf667bf1f,0,0,25,
Film genel olarak başarılıydı.,2,2025-06-02,1,57edbe17-0129-436c-9f07-ffc4ffb14f49,0,0,41,
Bazı sahneler gereksiz uzatılmıştı.,1,2025-09-06,1,6103c325-17e3-4ae5-b7c8-852e29831f66,0,0,76,
Müzikleri filme ayrı bir hava katmış.,1,2022-07-03,1,2907842f-fe98-490b-a795-b79b3389f4a8,0,0,24,
Müzikleri filme ayrı bir hava katmış.,5,2024-10-19,1,551afc42-02ff-4e48-b76f-468c3da232b4,0,0,92,
Finali etkileyiciydi.,1,2023-04-28,1,4ff3fd2e-14f6-407b-95a0-426731fed076,0,0,87,
Tekrar izlenebilecek bir yapım.,3,2023-11-15,1,6304650a-859b-4bd5-98bb-85af18662493,0,0,58,
Oyunculuklar ve atmosfer çok iyiydi.,2,2025-09-14,1,d99b45e0-52b4-4684-9d0f-a0ec863756b6,1,0,28,
Film genel olarak başarılıydı.,5,2022-03-06,1,deede98b-aad8-4fb2-8f54-6c1bca24f082,0,0,61,
Oyunculuklar ve atmosfer çok iyiydi.,1,2025-02-05,1,c776bb05-f634-4f37-8eef-b5fa56e875db,0,0,31,
Finali etkileyiciydi.,1,2025-12-05,1,3658872f-343a-425d-a7f3-2fb3f6a206a5,0,0,78,
Oyunculuklar ve atmosfer çok iyiydi.,1,2024-04-01,1,963df7ea-1f4b-4aeb-8596-b4ad5c3f52f9,0,0,17,
Film genel olarak başarılıydı.,2,2025-04-03,1,9e0faad5-9e09-4bb4-a9a6-3964b85d8f19,0,0,88,
Tekrar izlenebilecek bir yapım.,4,2022-07-21,1,609ec58e-f1bb-42f8-b2e8-1f25d14d5466,0,0,63,
Tekrar izlenebilecek bir yapım.,1,2025-01-09,1,6304650a-859b-4bd5-98bb-85af18662493,0,0,57,
Tekrar izlenebilecek bir yapım.,1,2024-12-12,1,87ba1084-b0c0-4804-9ea8-acfdf36f348f,0,0,96,
Müzikleri filme ayrı bir hava katmış.,1,2024-06-20,1,e8c7e432-04d5-48c9-bf1c-5a2c5c7a9656,0,0,83,
Beklentimin biraz altında kaldı.,1,2025-07-01,1,8c7e05c2-ce8c-4295-9032-5e595d65e785,0,0,10,
Beklentimin biraz altında kaldı.,5,2022-05-10,1,209635a5-98ef-45de-becf-d898db9fe4f8,0,0,45,
Finali etkileyiciydi.,3,2025-10-17,1,25a7ad3e-118c-4fc4-91a1-1d8505ae8010,1,0,54,
Beklentimin biraz altında kaldı.,5,2023-09-01,1,2d70339b-cbc3-4a8e-9f23-75e76e19dea3,0,0,21,
Senaryo daha iyi olabilirdi.,1,2025-05-05,1,cbeca4ca-d496-41f3-9c25-17d882fa0952,0,0,74,
Senaryo daha iyi olabilirdi.,3,2025-06-22,1,9e0faad5-9e09-4bb4-a9a6-3964b85d8f19,0,0,34,
Müzikleri filme ayrı bir hava katmış.,4,2022-10-04,1,66e3688d-0f76-48e8-9388-9bb239237bb9,0,0,25,
Hikâye güçlü ama tempo sorunluydu.,3,2025-02-13,1,01214202-a38b-4d17-b7cf-13ab7ebe9500,0,0,13,
Beklentimin biraz altında kaldı.,1,2022-05-18,1,94b4eae5-1c9c-40af-9838-af795ab50c8a,0,0,5,
Beklentimin biraz altında kaldı.,2,2022-02-03,1,e8c7e432-04d5-48c9-bf1c-5a2c5c7a9656,1,0,17,
Beklentimin biraz altında kaldı.,5,2024-11-14,1,cd53977d-e714-4f24-bf72-c010a6574641,0,0,80,
Beklentimin biraz altında kaldı.,1,2023-03-27,1,d2244dd0-a9f9-400f-8f32-0a6572c01fa3,0,0,67,
Görsel olarak çok başarılıydı.,3,2022-05-25,1,8818ee82-8a70-48e1-9802-79330044cd03,0,0,13,
Finali etkileyiciydi.,2,2022-01-27,1,8818ee82-8a70-48e1-9802-79330044cd03,0,0,14,
Oyunculuklar ve atmosfer çok iyiydi.,5,2022-04-05,1,53c154e6-cd94-4582-b133-11b82e45af18,0,0,43,
Görsel olarak çok başarılıydı.,3,2022-10-29,1,aa25819e-4451-4e02-8a60-7acf267c7522,0,0,78,
Müzikleri filme ayrı bir hava katmış.,4,2022-09-22,1,b0527843-1fcf-44e8-821b-db95484e60dc,0,0,58,
Müzikleri filme ayrı bir hava katmış.,5,2022-08-05,1,e773f0d7-8993-4d86-8ea7-bebae41fb02a,0,0,27,
Müzikleri filme ayrı bir hava katmış.,3,2022-11-22,1,a216791d-4c7a-4162-bbc2-d9e40d353439,0,0,98,
Film genel olarak başarılıydı.,4,2025-12-30,1,8c7e05c2-ce8c-4295-9032-5e595d65e785,0,0,84,
Hikâye güçlü ama tempo sorunluydu.,5,2025-11-22,1,d8b25938-ad5a-4adb-8047-4a988acac97e,0,0,12,
Oyunculuklar ve atmosfer çok iyiydi.,1,2024-07-22,1,3edb6aa3-5c30-4473-b862-b341265392ef,0,0,74,
Bazı sahneler gereksiz uzatılmıştı.,2,2024-08-13,1,2836f9aa-ed96-43d5-8eb8-2cb4189bcd9e,0,0,64,
Görsel olarak çok başarılıydı.,4,2022-04-26,1,3658872f-343a-425d-a7f3-2fb3f6a206a5,0,0,8,
Bazı sahneler gereksiz uzatılmıştı.,5,2024-04-29,1,b0527843-1fcf-44e8-821b-db95484e60dc,0,0,30,
